,,,,,,,,positive,,,,,,,,,,,,,,,,
#,WastefulEconomy,Wasteful economy,"Our productivity is low, our workers are less efficient and less motivated than those in other nations. This is going to reduce our overall wealth and our international competitiveness",ECONOMY,sit_icons_wastefuleconomy.dds,Our economy is being hindered by a general lack of productivity,"The Economic Efficiency Institute (EEI) has issued a report indicating that our nation no longer has a 'wasteful' economy. This is good news for our GDP, as it will mean greater investment.",0,0,0,"_default_,0.3+(0*x)","UnemployedBenefit,0+(0.14*x)","LabourLaws,0+(x^3)","TechnologyGrants,0-(0.2*x)","MaternityLeave,0.1+(0.26*x)",#,"GDP,-0.07-(0.06*x)",,,,,,,
#,InnerCityRiots,Inner City Riots,"The citizens have taken to the street to voice their concerns. There are violent protests and riots taking place all over the country. The policing cost in the short term is extremely high, but in the medium term this is a sign that your government has become highly unpopular with certain groups.",LAWANDORDER,sit_icons_innercityriots.dds,Riots have broken out in our inner cities. Something needs to be done to get the situation under control before our cities collapse into anarchy!,The riots in our inner cities have been bought under control by the police. Our citizens can live free of the worries of violence and looting in their communities again!,0,2000,0,"ArmedPolice,-0.3-(0.6*x)","CCTVCameras,-0.1(-0.6*x)","PovertyRate,0+(1.0*x)","CrimeRate,0+(0.15*x)","Unemployment,0+(0.25*x)",#,"Conservatives,-0.2-(0.3*x)",,,,,,,
#,Organised Crime,Organised Crime,"Large organized gangs of serious criminals are now targeting our country. We do not have the resources to deal with them, and they are causing serious problems including higher levels of street crime and violent crime, as well as supplying drugs and guns.",LAWANDORDER,sit_icons_organisedcrime.dds,The serious crime dept has reported that we now have a major problem with organised crime,"The police have now cracked the problem with organised crime, and the crime lords are now behind bars",0,50,0,"_default_,0.62+(0*x)","IDCards,-0.05+(0.04*x)","IntelligenceServices,-0.05-(0.15*x)","PhoneTapping,-0.05-(0.15*x)","Gambling,0+(0.45*x)","ArmedPolice,0-(0.17*x)","Narcotics,0-(0.15*x)",#,"CrimeRate,0.1+(0.2*x)","ViolentCrimeRate,0+(0.2*x)",,,,
#,BingeDrinking,Binge Drinking,We have a serious problem with young people consuming alcohol in large quantities. This is obviously bad for their health but its also leading to crime and disorder in our cities. ,LAWANDORDER,sit_icons_bingedrinking.dds,A new problem of 'Binge Drinking' where our citizens consume unhealthy amounts of alcohol has started to cause problems on our streets,The phenomena of 'Binge Drinking' has apparently subsided,0,2000,0,"_default_,0.4+(0*x)","CrimeRate,0+(0.8*x)","CommunityPolicing,-0.1-(0.25*x)","AlcoholLaw,0.1-(0.7*x)","PoliceForce,0-(0.15*x)",#,"Lifespan,0-(0.12*x)",,,,,,,
#,VigilanteMobs,Vigilante Mobs,"Our citizens have lost all faith in the ability of the police to beat crime. They have started to take matters into the own hands, resulting in often violent mobs handing out street justice on the spot. This is only leading to more disorder and more crime.",LAWANDORDER,sit_icons_vigilantemobs.dds,"The media is reporting on Vigilante mobs who are taking the law into their own hands, often violently",There are no longer Vigilante mobs on our streets and people are trusting the authorities to enforce law and order again,0,0,0,"_default_,0.3+(0*x)","CrimeRate,0+(1.0*x)","PoliceForce,0-(0.6*x)","CCTVCameras,-0.1-(0.1*x)","RacialTension,0+(0.1*x)","DeathPenalty,-0.1-(0.05*x)",#,"Conservatives,-0.2-(0.3*x)",,,,,,
#,ArmedRobbery,Armed Robbery,"Our country is seen as a safe place for people to carry out armed robbery, with little chance of being caught by the police. This wave of armed robbery stretches from high street banks to the local corner shop.",LAWANDORDER,sit_icons_armedrobbery.dds,An epidemic of armed robbery is sweeping the nation,Great news from the bureau of crime statistics! There has been a noticeable fall in the incidence of armed robberies. Our shopkeepers will be breaking out the champagne!,0,0,0,"ViolentCrimeRate,0+(0.84*x)", ,"HandgunLaws,0.24-(0.4*x)","ArmedPolice,0-(0.6*x)","CCTVCameras,0-(0.4*x)",#,"Retired,-0.15-(0.4*x)","Conservatives,-0.2-(0.3*x)",,,,
#,ContagiousDisease,Contagious Disease,Our population is falling for a highly contagious illness that is keeping record numbers of people away from work. This is obviously going to have a negative effect on the economy as well as reducing everyone's quality of life.,PUBLICSERVICES,sit_icons_contagiousdisease.dds,A highly contagious and disabling disease has taken hold amongst our population. This is probably attributable to poor levels of public health or possibly high pollution,The contagious disease that has ravaged our population has finally been eliminated thanks to excellent work by doctors. You can now leave your home again!,0,40,0,"_default_,0.4+(0*x)","PovertyRate,0+(0.5*x)","StateHealthService,0-(0.4*x)",#,"WorkerProductivity,-0.10-(0.06*x)","TourismBoom,-0.8-(0.2*x)","_All_,-0.2-(0.1*x)","Lifespan,-0.1-(0.1*x)","Retired_freq,-0.1-(0.05*x)",,,
#,TeachersStrike,Teachers Strike,"The teachers union has called for a national strike, which means our young citizens aren't receiving an education right now. Naturally, parents are outraged and businesses will be concerned that the future workforce isn't getting a real education.",PUBLICSERVICES,sit_icons_teachersstrike.dds,Teachers and other education workers have walked out on strike in protest against the government,Great News! The teachers strike has been called off and the children can now return to school. Don't expect them to be happy about it though…,0,150,0,"_default_,0.88+(0*x)","_prereq_,StateSchools","Unemployment,0-(x^2)","StateSchools,0-(0.73*x)","UniversityGrants,0-(0.18*x)","LabourLaws,-0.2+(0.4*x)",#,"Parents,0-(0.4*x)","LiteracyRate,-0.05-(0.05*x)",,,
#,AsthmaEpidemic,Asthma Epidemic,"Asthma and other lung diseases are a serious problem amongst our citizens. Not only does this obviously severely impact their quality of life, but its also reducing our productivity, and filling our hospital beds. Poor air quality, possibly caused by factory pollution and car fumes, together with smoking are the likely causes.",PUBLICSERVICES,sit_icons_asthmaepidemic.dds,"An asthma epidemic is sweeping the nations children, asthma is now a common problem",Good news on the health front! Doctors are happy to report that asthma levels have dropped significantly and are back to acceptable levels.,0,90,0,"_default_,0.8+(0*x)","AirQuality,0-(0.6*x)","CarUsage,0 + (0.2*x)",#,"WorkerProductivity,-0.02-(0.03*x)","Parents,-0.4-(0*x)",,,,,,
#,HospitalOvercrowding,Hospital Overcrowding,"There simply aren't enough hospital places to go round. The problem is especially bad amongst the poor, who cannot afford private healthcare. People waiting in a queue for a vital operation are naturally not inclined to vote for your government again.",PUBLICSERVICES,sit_icons_hospitalovercrowding.dds,Doctors complain that our hospitals are seriously overcrowded. The media is reporting cases where patients are kept waiting for long periods,Hospital bed occupancy rates have fallen and doctors are please to report that there are no longer unacceptable waiting lists for routine operations. Hurrah!,0,0,0,"_default_,0.6+(0*x)","Immigration,0+(0.2*x)","Lifespan,0+(0.12*x)","StateHealthService,-0.05-(0.55*x)","ViolentCrimeRate,0+(0.2*x)",#,"Parents,-0.2-(0.5*x)","Retired,-0.2-(0.45*x)",,,,
#,DrugAddiction,Drug Addiction,Hard drugs are being traded freely on our streets. Our young citizens especially are becoming addicted to dangerous drugs. This is likely to fuel crime as well as being a disaster for the future health of our citizens,PUBLICSERVICES,sit_icons_drugaddiction.dds,Recent studies indicate a serious problem with addiction to hard drugs amongst our population,"The level of drug addiction within the population has dropped back to negligible levels. This is likely to cause a drop in crime levels, which will make everyone happy.",0,0,0,"_default_,0.6+(0*x)","Narcotics,-0.2+(0.6*x)","PoliceForce,0-(0.27*x)","StateHealthService,0-(0.10*x)","Unemployment,0+(0.13*x)",#,"CrimeRate,0.1+(0.05*x)","WorkerProductivity,-0.05-(0.05*x)","Lifespan,-0.1-(0.1*x)",,"Parents,-0.2-(0.19*x)",
#,TeacherShortage,Teacher Shortage,We just don't have enough people wanting to work in our schools. We probably need to invest more money if we are going to be able to keep classroom sizes small and ensure our children get a decent education. Right now children just aren't learning the way they should.,PUBLICSERVICES,sit_icons_teachershortage.dds,Head Teachers complain to you that there simply aren't enough teachers to educate our younger citizens,"The earlier problems with a shortage of teachers have now eased considerably. Children no longer have to learn everything from cartoons and comics, which will mean higher literacy rates and happier parents.",0,0,0,"_default_,0.8+(0*x)","_prereq_,StateSchools","StateSchools,0-(0.51*x)","Immigration,0-(0.49*x)",#,"LiteracyRate,-0.1-(0.1*x)","Parents,-0.1-(0.3*x)",,,,,
#,DoctorsStrike,Doctors Strike,"It takes a lot for medical professionals to refuse to work, but the state of our health provision and the salaries of our health workers has resulted in a national health strike. This has an immediate and devastating effect on those who use the health services regularly",PUBLICSERVICES,sit_icons_doctorsstrike.dds,"Doctors and other health workers are on strike, protesting about government policies","The health workers strike has been called off, and the doctors have returned to work",0,150,0,"_default_,0.5+(0*x)","StateHealthService,-0.55*(x^7)","Unemployment,0-(x^7)","LabourLaws,0-(0.3*x)",#,"Parents,0-(0.4*x)","Lifespan,-0.22-(0.1*x)",,,,,
#,BrainDrain,Brain Drain,Our tax system is encouraging the best and brightest entrepreneurs to leave the country altogether and make money elsewhere. As a result we are losing out both on their knowledge and skills and also the potential tax revenue from them and their companies. This may be a sign that we are overtaxing the wealthy and successful.,TAX,sit_icons_braindrain.dds,"There has been a sudden huge leap in the number of our skilled citizens leaving the country to work elsewhere, tempted by better prospects abroad",The 'Brain Drain' is coming to an end as we persuade our best and brightest citizens to make this country their home. This will keep businesses happy and no doubt boost our GDP.,0,0,0,"IncomeTax,0.35+(x^6)","LuxuryGoodsTax,0.3+(0.4*x),4","TaxShelters,-0.2-(0.3*x),4",#,"GDP,-0.12-(0.11*x)","Capitalist_freq,-0.05-(0.1*x)",,,,,,
#,PetrolProtests,Petrol Protests,"High levels of fuel tax have led to a small number of highly vocal citizens staging street protests and protests at both gas stations and the depots from which fuel tankers are dispatched. This is resulting in queues at some gas stations and total closures at others.  Business will suffer badly if drivers cannot fill their tanks, and motorists are not surprisingly outraged.",TAX,sit_icons_petrolprotests.dds,Protesters have gathered outside petrol depots to protest about petrol prices. They are interrupting the supply of petrol to petrol stations,"The petrol protestors have stopped their protests and the tankers are travelling freely again. This will be both good news for the economy, and it will cheer up everyone who was inconvenienced.",0,100,0,"PetrolTax,0+(0.8*x),1","PovertyRate,0+(0.1*x)","Curfews,0-(0.4*x)","DetentionWithoutTrial,-0.1-(0.1*x)","OilPrice,-0.1+(0.2*x)",#,"GDP,-0.1-(0.2*x)","_All_,-0.1+(0*x)","Motorist,-0.2-(0.2*x)","CarUsage,-0.26-(0*x)",,
#,BlackMarket,Black Market,"Every economy has a black market, but the situation has started to get out of control. People are increasingly working for cash in order to dodge paying income and corporation tax, and people who are claiming state benefits are also working and not declaring the income. This may be a sign that the citizens consider themselves over taxed and not sufficiently supported by the state.",TAX,sit_icons_blackmarket.dds,Fraud experts at the tax office tell you that we have a significant 'black market' with people avoiding paying the correct amount of tax,Official tax department reports indicate a significant drop in the size of the economies 'black market' of untaxed work. A smaller black market will have a beneficial knock-on effect on the crime rate.,0,4000,0,"CorporationTax,0+(0.3*x),4","IncomeTax,-0.13+(0.72*x),4","UnemployedBenefit,0-(0.3*x)","SalesTax,0+(0.34*x),4",#,"CrimeRate,0.05+(0.05*x)",,,,,,
#,TaxEvasion,Tax Evasion,"There is always a small section of society determined to avoid paying their fair share of taxes, but tax evasion has turned into an epidemic, with inspectors unable to cope with the number of scams and evaders.",TAX,sit_icons_taxevasion.dds,Tax inspectors report a surge in tax evasion with large sums of money going unpaid,The level of tax evasion in the economy has declined back to acceptable levels. This is great news because we will take more money in from taxes without the negative political effects of raising the levels.,0,0,0,"_default_,0.3+(0*x)","CorporationTax,0+(0.3*x),4","IncomeTax,-0.2+(0.9*x),4",#,,,,,,,,
#,TrafficCongestion,Traffic Congestion,"Almost everyone in the country seems to insist on driving to work each day, which has pushed our road infrastructure beyond its limits. Its taking people forever to get anywhere, which is upsetting motorists and costing businesses a small fortune.",TRANSPORT,sit_icons_trafficcongestion.dds,Our roads have become seriously congested with road traffic taking ages to get to its destination,Traffic congestion has eased considerably and people are getting around the country much faster. Commuters and motorists will breathe a long sigh of relief at this news.,0,800,0,"BusLanes,0-(0.2*x)","BusSubsidies,0-(0.2*x)","RailSubsidies,0-(0.2*x)","RoadBuilding,0-(0.4*x)","CarUsage,0+(x^2)",#,"Commuter,-0.1-(0.10*x)","Motorist,-0.3-(0.2*x)","Motorist_freq,-0.07-(0.05*x)","GDP,-0.04-(0.04*x)",,
#,Rail Strike,Rail Strike,"Rail employees are not turning up to work. They are asking for greater investment in the rail network. Our rail system is currently paralysed which is causing total mayhem for business, and huge resentment amongst commuters.",TRANSPORT,sit_icons_railstrike.dds,A major train strike is now underway,"The train strike is over and the trains are moving again at last! Obviously commuters will be relieved, and so will businesses who ship freight by train, which is good news for the economy.",0,0,0,"_default_,1.0+(0*x)","_prereq_,RailSubsidies","RailSubsidies,0-(1.0*x)","AverageIncome,0-(0.2*x)","LabourLaws,-0.3+(0.3*x)",#,"Commuter,-0.1-(0.4*x)","GDP,-0.09-(0.05*x)",,,,
#,Homelessness,Homelessness,"More and more of our citizens are homeless and have taken to sleeping in the streets. This is having knock-on effects in the areas of crime and violent crime, and is also reducing everyone's quality of life. Something needs to be done to provide homes for these people!",WELFARE,sit_icons_homelessness.dds,"We now have a homelessness problem. Many of our cities have people sleeping in the streets, often begging for money.","We no longer have a problem with homelessness and people sleeping on our streets. This will cheer up our more liberal citizens, socialists, and of course the poorer members of our society.",0,10,0, ,"PovertyRate,0+(0.9*x)","StateHousing,0-(0.5*x)","UnemployedBenefit,0-(0.3*x)","Unemployment,0+(0.9*x)",#,"Liberal,-0.12-(0.13*x)","Poor,-0.24-(0.3*x)","MiddleIncome,-0.06-(0.05*x)","Socialist_freq,0.05+(0.1*x)",,
#,ClassWarfare,Class Warfare,"Inequality has grown so stark that people have actually taken to the streets to redress the difference between rich and poor. Burning cars, smashed windows, angry mobs, this is a sign of society literally collapsing around us.",WELFARE,sit_icons_classwarfare.dds,"Violent gangs have taken the issue of 'class war' to the streets, with companies and wealthy areas the target of violence and vandalism","Security chiefs report that the class-war that has plagued our streets is now over. This is great news as it means less crime, and obviously our wealthier citizens will be especially relieved that this threat is over.",0,0,0,"CCTVCameras,-0.1-(0.1*x)","Equality,0.9-(1.2*x),3","ArmedPolice,-0.2-(0.14*x)","Curfews,-0.1-(0.05*x)","PovertyRate,0+(0.25*x)",#,"ViolentCrimeRate,0.2+(0.2*x)","Conservatives,-0.2-(0.3*x)","Poor,-0.3-(0.25*x)","Wealthy,-0.4-(0.4*x)","Capitalist,-0.3-(0.2*x)","Socialist_freq,0.05+(0.1*x)"
#,DebtCrisis,Debt Crisis,Government debt has got so high that the borrowing has started to crowd out private borrowing. This makes it hard for our companies to raise private funds and expand and is driving our local industry overseas or into decline. This is a problem we have to correct if we don't want our economy to collapse.,ECONOMY,sit_icons_debtcrisis.dds,The economy is in a debt crisis. Economists are panicking,"Our economy has managed to recover from the debt crisis. This will be a relief to capitalists who are no longer worried about the state of the governments finances, and will mean a boost for our GDP.",0,0,0,"_debt_,0+(1.0*x)",#,"Capitalist,0-(0.2*x)","SelfEmployed,0-(0.25*x)","GDP,-0.09-(0.05*x)",,,,,,
#,Gridlock,Gridlock,"Chronic congestion leading to virtual paralysis of the transport infrastructure. There comes a point where traffic congestion is so bad, nobody can get anywhere!",TRANSPORT,sit_icons_gridlock.dds,Traffic congestion has reached a state of permanent gridlock,"The traffic gridlock has now eased and average speeds are faster than a snails pace again, so commuters and motorists will be very relieved. This also means learning to drive will no longer seem futile for our citizens.",0,0,0,"CarUsage,0+(x^5)","SateliteRoadPricing,-0.12+(0.1*x)",#,"Commuter,-0.3-(0.9*x)","Motorist_freq,-0.09-(0.05*x)","Motorist,-0.5-(0.3*x)","GDP,-0.06-(0.06*x)",,,,
#,InternetCrime,Internet Crime,With our high levels of Internet usage and other technological items we are seeing a sharp rise in Internet Crimes. Computer viruses that no longer simply break the target computer but hide themselves and steal the users private information until detected (often to steal bank passwords or commit identity fraud) or hijack that computer and use it to perform further crime that's difficult to trace back to the original source.,LAWANDORDER,sit_icons_internetcrime.dds,Reports indicate that Internet Crime is becoming quite common.,The instances of Internet Crime within our country have fallen dramatically and are no longer a major concern.,0,0,0,"InternetAccess,0.85*(x^2),4","CrimeRate,0+(x*0.25)","Organised Crime,0+(0.11*x)","InternetCensorship,-0.1-(0.3*x)","InternetTax,-0.05-(0.25*x),2","IntelligenceServices,-0.4*(x^3),2",#,"_All_,-0.01-(0.11*x)","CrimeRate,0.04+(0.08*x),2","_security_,-0.01-(0.05*x)","GDP,-0.02-(0.03*x)"
